location_id,latitude,longitude,elevation_m,slope_deg,built_up_percent,distance_to_nearest_drain_m,drain_density_m_per_km2,observed_reference_depth_cm,zone,ward
CHN_LOC_0069,12.9955825,80.2011622,10.0,2.1171,92.644,66.326,14288.616,17.78,,
CHN_LOC_0070,12.9971826,80.2070906,10.0,2.6619,89.905,3.579,13439.377,24.13,,
CHN_LOC_0071,12.9974096,80.2071278,12.0,2.7959,89.351,2.666,13829.9,19.05,,
CHN_LOC_0072,12.9487149,80.2018432,0.0,3.7255,54.663,170.786,1365.812,152.4,,
CHN_LOC_0073,12.9487165,80.2029167,2.0,1.9005,54.694,107.535,1906.835,101.6,,
CHN_LOC_0074,12.9487613,80.2035273,0.0,1.9005,60.234,97.244,2152.272,38.1,,
CHN_LOC_0075,12.9725528,80.1914282,9.0,2.8498,95.045,34.794,19040.791,35.56,,
CHN_LOC_0076,12.9853013,80.17684,18.0,1.9008,34.688,6.884,7425.683,88.9,,
CHN_LOC_0077,12.989225,80.185412,11.0,2.6618,70.022,45.896,9932.526,88.9,,
CHN_LOC_0078,12.9768687,80.1935022,10.0,1.3316,97.661,10.318,26629.571,35.56,,
CHN_LOC_0079,12.9777083,80.193806,9.0,2.0928,98.307,7.236,25877.464,12.7,,
CHN_LOC_0080,12.9794984,80.1946036,11.0,2.117,98.769,5.484,21288.556,38.1,,
CHN_LOC_0081,12.9809297,80.1952644,8.0,1.8647,97.261,7.562,17528.05,27.94,,
CHN_LOC_0082,12.9819961,80.1958994,8.0,1.8647,95.814,68.602,16117.868,25.4,,
CHN_LOC_0083,12.9593422,80.2445919,6.0,2.0927,94.891,2.52,17560.443,38.1,,
CHN_LOC_0084,12.959023,80.2444786,3.0,2.6617,92.213,7.715,16839.438,33.02,,
CHN_LOC_0085,12.9587563,80.2443425,3.0,2.6617,90.058,6.953,16475.318,25.4,,
CHN_LOC_0086,12.9623321,80.2459743,4.0,1.8647,94.891,33.806,17297.186,33.02,,
CHN_LOC_0087,13.0332651,80.2096652,12.0,3.3794,72.361,27.772,10638.775,17.78,,
CHN_LOC_0088,13.0333788,80.2097054,12.0,3.3794,71.283,25.488,10583.443,19.812,,
CHN_LOC_0089,13.0334791,80.2097235,12.0,2.9987,70.483,25.221,10489.784,17.78,,
CHN_LOC_0090,13.0331475,80.2096763,13.0,2.9987,73.715,24.497,10660.849,19.05,,
CHN_LOC_0091,13.0352494,80.2097785,14.0,2.0929,61.311,6.727,11367.49,53.34,,
CHN_LOC_0092,13.0350907,80.2099277,12.0,2.1173,60.665,21.925,11451.223,38.1,,
CHN_LOC_0093,13.0366657,80.2122435,14.0,1.9012,72.453,4.229,13831.491,33.02,,
CHN_LOC_0094,13.0368261,80.2122515,12.0,2.0929,73.038,4.724,13997.791,27.94,,
CHN_LOC_0095,13.0368908,80.2122384,12.0,2.0929,73.13,3.015,14040.373,33.02,,
CHN_LOC_0096,13.0370623,80.2122555,12.0,2.0929,73.069,4.276,14198.627,27.94,,
CHN_LOC_0097,13.0373768,80.2122592,13.0,2.1173,73.223,4.262,14521.887,27.94,,
CHN_LOC_0098,13.0376545,80.2122545,14.0,2.0929,74.054,3.272,14832.385,27.94,,
CHN_LOC_0099,13.0369042,80.2120752,14.0,2.6621,73.346,6.727,13883.989,38.1,,
CHN_LOC_0100,13.0355496,80.2069562,13.0,2.0929,55.186,19.825,9783.014,27.94,,
CHN_LOC_0101,13.0356316,80.205898,14.0,2.1173,56.11,24.526,9747.606,27.94,,
CHN_LOC_0102,13.0360726,80.2027478,15.0,1.8647,71.407,27.936,9947.413,35.56,,
CHN_LOC_0103,13.036634,80.1996864,14.0,0.9509,86.119,11.776,9786.538,38.1,,
CHN_LOC_0104,13.0372798,80.1952989,18.0,3.4046,80.856,9.484,9776.014,35.56,,
CHN_LOC_0105,13.0372981,80.2045636,15.0,1.9012,57.679,6.323,12103.703,40.64,,
CHN_LOC_0106,13.0404935,80.2051007,17.0,2.1174,64.512,8.142,13730.996,40.64,,
CHN_LOC_0107,13.0385132,80.2084877,15.0,2.0929,63.496,2.32,14337.871,12.7,,
CHN_LOC_0108,13.0404426,80.2087331,14.0,1.8647,78.732,3.866,16174.268,21.59,,
CHN_LOC_0109,13.0413464,80.2088461,13.0,0.9326,83.595,1.533,17002.602,25.4,,
CHN_LOC_0110,13.0418771,80.2089651,14.0,1.8647,84.364,5.708,16136.633,38.1,,
CHN_LOC_0111,13.043134,80.2091093,12.0,2.0929,84.426,1.975,15230.075,27.94,,
CHN_LOC_0112,13.0377933,80.2131826,15.0,2.1174,78.978,2.464,14155.494,20.32,,
CHN_LOC_0113,13.0384188,80.2136845,12.0,2.7959,80.64,8.498,15039.069,22.86,,
CHN_LOC_0114,13.0390697,80.2141287,16.0,2.6621,80.456,7.385,15123.695,22.86,,
CHN_LOC_0115,13.0393931,80.2141814,14.0,2.0929,81.44,2.424,15296.317,22.86,,
CHN_LOC_0116,13.0398795,80.2146709,12.0,2.6621,80.609,6.395,15873.642,22.86,,
CHN_LOC_0117,13.0405298,80.2151128,11.0,2.6621,79.778,5.61,17001.941,22.86,,
CHN_LOC_0118,13.0433731,80.2198281,14.0,2.1174,97.538,3.351,12723.626,20.32,,
CHN_LOC_0119,13.0430429,80.2214934,15.0,1.9013,97.692,1.135,13541.508,27.94,,
CHN_LOC_0120,13.0420489,80.2254017,12.0,2.1174,97.999,2.675,14280.04,27.94,,
CHN_LOC_0121,13.0417974,80.2264203,13.0,1.8647,98.061,0.73,13788.205,27.94,,
CHN_LOC_0122,13.041265,80.2288312,10.0,2.6621,94.367,12.555,13577.033,152.4,,
CHN_LOC_0123,13.0422426,80.2249377,12.0,2.6621,97.876,3.291,14037.293,22.86,,
CHN_LOC_0124,13.0453113,80.2257886,15.0,2.0929,97.291,6.521,14873.021,27.94,,
CHN_LOC_0125,13.0462056,80.2260793,14.0,1.9013,95.906,5.168,14685.938,27.94,,
CHN_LOC_0126,13.0466935,80.2262097,16.0,2.0929,95.691,4.587,14746.425,27.94,,
CHN_LOC_0127,13.0467471,80.2260391,16.0,2.0929,95.691,5.513,14739.04,27.94,,
CHN_LOC_0128,13.0474379,80.2329686,14.0,1.9013,76.454,20.431,10862.448,33.02,,
CHN_LOC_0129,13.046916,80.2330048,14.0,1.8647,76.547,2.39,10703.477,22.86,,
CHN_LOC_0130,13.0435978,80.2324757,15.0,1.8647,77.901,1.834,11551.081,27.94,,
CHN_LOC_0131,13.0452884,80.2328532,14.0,2.6622,78.609,12.775,11107.708,27.94,,
CHN_LOC_0132,13.0484534,80.2332193,14.0,2.0929,85.103,30.228,11027.38,27.94,,
CHN_LOC_0133,13.0500548,80.2334125,12.0,2.0929,92.552,35.965,11111.355,12.7,,
CHN_LOC_0134,13.0531155,80.2342553,11.0,2.8507,93.69,16.07,10757.754,30.48,,
CHN_LOC_0135,13.0452495,80.2400948,10.0,4.229,80.302,7.213,10366.38,22.86,,
CHN_LOC_0136,13.0449507,80.2402893,7.0,4.1802,81.502,16.384,10489.736,27.94,,
CHN_LOC_0137,13.0446368,80.2395711,16.0,2.8506,79.532,6.295,11658.623,20.32,,
CHN_LOC_0138,13.035077,80.230462,12.0,3.3794,92.736,3.74,13606.416,25.4,,
CHN_LOC_0139,13.0345103,80.2303997,10.0,3.4046,92.459,5.976,13987.078,20.32,,
CHN_LOC_0140,13.035109,80.2301133,9.0,3.4046,92.921,6.017,13325.431,20.32,,
CHN_LOC_0141,13.0369558,80.236042,12.0,2.1173,82.148,4.706,14455.363,50.8,,
CHN_LOC_0142,13.0398788,80.2431848,16.0,3.7983,84.765,7.613,9717.913,38.1,,
CHN_LOC_0143,13.0535541,80.2358865,14.0,2.1175,91.844,33.875,10273.485,17.78,,
CHN_LOC_0144,13.0540689,80.2283666,12.0,2.0929,86.611,8.334,12193.162,17.78,,
CHN_LOC_0145,13.0537432,80.2257631,15.0,2.6622,77.809,8.545,12238.695,25.4,,
CHN_LOC_0146,13.0508249,80.2199863,12.0,1.9013,94.583,0.712,8539.253,22.86,,
CHN_LOC_0147,13.0474784,80.219008,14.0,1.8647,95.291,9.825,7031.053,22.86,,
CHN_LOC_0148,13.044058,80.2176458,13.0,1.9013,89.474,13.654,11093.86,22.86,,
CHN_LOC_0149,13.0518417,80.218557,15.0,1.9013,93.629,0.594,6732.781,30.48,,
CHN_LOC_0150,13.0509079,80.215795,12.0,2.1174,96.861,2.958,6636.356,30.48,,
CHN_LOC_0151,13.0501364,80.2136962,13.0,1.8647,96.768,2.855,7172.899,27.94,,
CHN_LOC_0152,13.1646096,80.2066212,13.0,1.3321,67.99,127.793,1594.328,17.78,,
CHN_LOC_0153,13.163277,80.2087744,10.0,1.9022,56.941,122.011,700.221,17.78,,
CHN_LOC_0154,13.1621226,80.2087767,10.0,2.7959,66.944,161.282,750.472,19.05,,
CHN_LOC_0155,13.1624664,80.208765,10.0,2.6628,62.881,142.64,722.03,19.05,,
CHN_LOC_0156,13.1608164,80.2079063,12.0,1.9022,81.625,233.334,933.733,22.86,,
CHN_LOC_0157,13.1528236,80.2087217,13.0,1.8647,89.566,53.085,1500.796,22.86,,
CHN_LOC_0158,13.1449155,80.223201,10.0,1.8647,77.839,16.071,3187.076,27.94,,
CHN_LOC_0159,13.1440562,80.2543578,7.0,4.1806,80.486,18.434,2294.161,33.02,,
CHN_LOC_0160,13.1447196,80.2544242,3.0,2.6627,74.823,92.154,1937.374,24.13,,
CHN_LOC_0161,13.1539213,80.2570136,7.0,2.6628,55.586,344.256,1111.072,27.94,,
CHN_LOC_0162,13.1539653,80.2574373,9.0,1.9021,58.972,323.615,1317.466,21.59,,
CHN_LOC_0163,13.1560963,80.261058,8.0,2.0931,40.505,63.538,4040.274,19.05,,
CHN_LOC_0164,13.1531955,80.2575704,9.0,1.8647,57.71,402.176,777.336,25.4,,
CHN_LOC_0165,13.1514733,80.257961,8.0,2.1181,35.796,583.912,0.0,27.94,,
CHN_LOC_0166,13.148914,80.2581575,3.0,2.6627,15.697,619.3,0.0,27.94,,
CHN_LOC_0167,13.1499924,80.2584462,9.0,4.1806,16.497,719.134,0.0,38.1,,
CHN_LOC_0168,13.1308786,80.2007921,9.0,2.8516,95.968,164.561,2458.678,33.02,,
CHN_LOC_0169,13.1332569,80.1941523,9.0,2.118,71.191,371.479,683.091,25.4,,
CHN_LOC_0170,13.1297273,80.1938234,11.0,2.093,59.187,103.026,859.096,27.94,,
CHN_LOC_0171,13.1453612,80.2189292,10.0,2.0931,82.302,82.389,1973.747,24.13,,
CHN_LOC_0172,13.1461869,80.2177802,9.0,2.0931,76.947,234.878,1075.501,27.94,,
CHN_LOC_0173,13.141982,80.1855481,15.0,1.8647,74.084,376.465,1483.674,22.86,,
CHN_LOC_0174,13.1406943,80.1861529,13.0,2.6627,74.423,219.805,1823.362,24.13,,
CHN_LOC_0175,13.1321301,80.1708952,22.0,2.6626,80.825,26.5,2216.762,27.94,,
CHN_LOC_0176,13.1222138,80.1674375,14.0,1.332,82.949,31.384,4751.521,25.4,,
CHN_LOC_0177,13.1195037,80.1685701,12.0,2.1179,68.852,136.179,2613.656,22.86,,
CHN_LOC_0178,13.1173441,80.169028,14.0,2.8515,66.851,314.207,1349.621,20.32,,
CHN_LOC_0179,13.1233834,80.2015361,10.0,2.6626,87.042,3.717,5622.666,25.4,,
CHN_LOC_0180,13.0154388,80.1890135,10.0,3.3793,40.936,128.092,6911.208,12.7,,
CHN_LOC_0181,13.0159536,80.1816086,2.0,3.3793,29.948,72.701,6144.524,12.7,,
CHN_LOC_0182,13.100092,80.1676836,18.0,2.093,67.436,20.039,7916.192,20.32,,
CHN_LOC_0183,13.0996169,80.1708717,16.0,2.6625,82.764,3.297,10502.793,12.7,,
CHN_LOC_0184,13.0995692,80.1720482,15.0,2.1178,84.949,38.88,11276.406,25.4,,
CHN_LOC_0185,13.1019847,80.2148378,11.0,3.3797,46.414,22.603,5068.926,30.48,,
CHN_LOC_0186,13.1026208,80.2093732,12.0,1.9017,76.639,5.134,5833.268,20.32,,
CHN_LOC_0187,13.1056097,80.2092917,15.0,2.9528,94.891,0.339,7150.086,17.78,,
CHN_LOC_0188,13.1055695,80.21084,13.0,2.1178,97.076,1.219,6970.511,20.32,,
CHN_LOC_0189,13.1058529,80.2072753,13.0,2.6625,91.351,9.986,7452.649,22.86,,
CHN_LOC_0190,13.1053047,80.2071912,12.0,2.1178,92.059,29.084,6996.63,30.48,,
CHN_LOC_0191,13.1056005,80.2071365,12.0,2.1178,91.167,3.356,7388.714,30.48,,
CHN_LOC_0192,13.1141395,80.1985484,13.0,2.6625,63.373,100.701,3703.122,20.32,,
